$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link,#ImageLink,#ImageLink2,#ImageLink3,#ImageLink4
A67FF6,N518JG,Joe Gibbs Racing,Bombardier Challenger 600,CL60,Civ,Not A Car,Left Turns Only,Vanity Plate,As Seen on TV,https://w.wiki/7rSF,https://cdn.jetphotos.com/full/5/28154_1515838139.jpg,https://cdn.jetphotos.com/full/5/67726_1495912873.jpg,https://cdn.jetphotos.com/full/6/37916_1456455002.jpg,https://cdn.jetphotos.com/full/6/71981_1455596098.jpg
A6804C,N518MT,Pacific Western Bank,Bell 407,B407,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.med-trans.net/,,,,
A683AD,N519JG,Joe Gibbs Racing,Bombardier Challenger 700,CRJ7,Civ,Bizjet,NASCAR,I Wanna Go Fast,As Seen on TV,https://w.wiki/7rSF,https://cdn.jetphotos.com/full/6/1068029_1707696216.jpg,https://cdn.jetphotos.com/full/5/18503_1515405930.jpg,https://cdn.jetphotos.com/full/6/40481_1636567789.jpg,https://cdn.jetphotos.com/full/6/50819_1657948026.jpg
A6870D,N52EV,Pacific Fleet Aviation,Piper PA-23-250,PA27,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.eagleview.com/,,,,
A6889E,N52WW,Pacific Fleet Aviation,Piper PA-23-250,PA27,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.eagleview.com/,,,,
A68945,N520DM,Bear Defence,Grob G-520 Egrett,EGRT,Civ,Hiiiiiigh In The Sky,Spyplane,All About That Wingspan,Oxcart,https://en.wikipedia.org/wiki/Grob_G_520,https://cdn.jetphotos.com/full/5/69010_1486811194.jpg,https://cdn.jetphotos.com/full/5/38209_1475298473.jpg,,
A68959,N520EG,Private,Grob G-520 Egrett,EGRT,Civ,Hiiiiiigh In The Sky,All About That Wingspan,Spyplane,Oxcart,https://en.wikipedia.org/wiki/Grob_G_520,https://cdn.jetphotos.com/full/5/23712_1440264087.jpg,,,
A689BD,N520JG,Joe Gibbs Racing,Bombardier Challenger 700,CRJ7,Civ,Bizjet,NASCAR,I Wanna Go Fast,As Seen on TV,https://w.wiki/7rSF,https://cdn.jetphotos.com/full/6/71492_1629521013.jpg,https://cdn.jetphotos.com/full/6/10394_1489754992.jpg,https://cdn.jetphotos.com/full/6/1518228_1688881834.jpg,https://cdn.jetphotos.com/full/5/17542_1541291589.jpg
A68A13,N520MT,Med-Trans Corp,Bell 407,B407,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.med-trans.net/,,,,
A68A81,N520SC,Stryker Corp,Dassault Falcon 2000EX,F2TH,Civ,New Joints,Doctor Supplies,Bizjet,As Seen on TV,https://w.wiki/Az6N,https://cdn.jetphotos.com/full/5/549518_1708698738.jpg,https://cdn.jetphotos.com/full/6/992295_1705452884.jpg,https://cdn.jetphotos.com/full/5/25534_1630440533.jpg,https://cdn.jetphotos.com/full/5/48958_1533156112.jpg
A69072,N522AX,10 Tanker Air Carrier,Douglas DC-10 30,DC10,Civ,Flying Fire Extinguisher,Air Attack,Wildfire,Aerial Firefighter,https://www.10tanker.com/,https://cdn.jetphotos.com/full/6/34514_1628211235.jpg,https://cdn.jetphotos.com/full/5/83887_1607748912.jpg,https://cdn.jetphotos.com/full/5/11129_1597557081.jpg,
A69181,N522MT,Aerocare,Bell 407,B407,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.helis.com/database/sqd/AeroCare-Texas/,,,,
A692E1,N5221K,Private,Ryan Navion B,NAVI,Civ,Liason,Shiny,Speak Up Sonny,Historic,https://w.wiki/4ydD,https://cdn.jetphotos.com/full/6/26315_1670716609.jpg,https://cdn.jetphotos.com/full/6/43975_1648095350.jpg,https://cdn.jetphotos.com/full/6/59053_1609164325.jpg,https://cdn.jetphotos.com/full/5/92713_1609109947.jpg
A6947A,N523EC,ECU Health Medical Center,Airbus EC-145,EC45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://w.wiki/CVba,,,,
A69538,N523MT,Med-Trans,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.med-trans.net/,,,,
A69711,N52341,Pacific Fleet Aviation,Cessna 172P Skyhawk II,C172,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.eagleview.com/,,,,
A69910,N524PA,Phoenix Air,Learjet 35,LJ35,Civ,Hired Gun,Government Contractor,Dirty Business,Hired Gun,https://phoenixair.com/,https://upload.wikimedia.org/wikipedia/commons/2/27/Phoenix_Air_Learjet_landing_at_North_Island_NAS_%283767183347%29.jpg,https://live.staticflickr.com/6157/6177022542_7057e72e1e_b.jpg,,
A6A19A,N5260K,Pacific Fleet Aviation,Cessna 172P Skyhawk II,C172,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.eagleview.com/,https://cdn.jetphotos.com/full/5/16819_1595796566.jpg,https://cdn.jetphotos.com/full/2/93487_1113756536.jpg,,
A6A30E,N527BF,Bayflite,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.airmethods.com/air-medical/program/bayflite/,https://cdn.jetphotos.com/full/5/30364_1574685210.jpg,https://cdn.jetphotos.com/full/5/53402_1569679245.jpg,,
A6A435,N527PA,Phoenix Air,Learjet 36A,LJ35,Civ,Hired Gun,Government Contractor,Dirty Business,Hired Gun,https://phoenixair.com/,https://cdn.jetphotos.com/full/5/342892_1702115692.jpg,,,
A6AD80,N52953,Pacific Fleet Aviation,Cessna 172P Skyhawk II,C172,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.eagleview.com/,,,,
A6AE17,N53AC,Pacific Fleet Aviation,Piper PA-23-250,PA27,Civ,Aerial Survey,Measuring Stick,Trundle Wheel,Ptolemy would be proud,https://www.eagleview.com/,https://cdn.jetphotos.com/full/5/855245_1704158890.jpg,,,
A6AFA1,N53RX,Reach Air Medical,AgustaWestland AW.109,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://reachair.com/,,,,
